id,fold,value,y_true,y_true_log,y_pred_log_dlkcat,y_pred_log_unikp,y_pred_log_catapro,y_pred_log_saekp
1,5.0,57500000.0,57500000.0,7.7596678446896306,1.555277098307297,2.474718076831789,2.1502,5.8949757
2,8.0,25000000.0,25000000.0,7.397940008672037,4.350393529217979,3.674862453837224,1.8529,5.228607
3,7.0,25000000.0,25000000.0,7.397940008672037,4.173815558214416,0.955645810948722,2.3426,3.314508
4,3.0,5000000.0,5000000.0,6.698970004336019,0.8003333743162747,0.7722041270881437,0.3298,0.9873171
5,5.0,4400000.0,4400000.0,6.643452676486188,3.9257001302220185,4.160170390181382,5.9567,5.3646917
6,6.0,3600000.0,3600000.0,6.556302500767288,4.568550246351541,4.424303530808681,3.0643,4.3342886
7,1.0,2402000.0,2402000.0,6.380573003066887,5.169949943156239,5.58825095073299,4.3731,5.4671497
8,2.0,1600000.0,1600000.0,6.204119982655925,4.170970837157445,3.042365867194316,4.9682,5.087522
9,6.0,1400000.0,1400000.0,6.146128035678238,5.671179515766727,2.886722865222879,4.0171,5.158314
10,10.0,1214290.0,1214290.0,6.084322418501385,4.2267703177265465,4.284675209228482,1.7329,3.642712
11,7.0,943000.0,943000.0,5.9745116927373285,1.5103344386658375,3.879989761767978,2.9003,4.4860363
12,10.0,890000.0,890000.0,5.949390006644913,4.1418449586516495,1.418049163187008,3.0388,2.3425913
13,7.0,860500.0,860500.0,5.934750874663579,2.355975070034244,5.813721689042193,4.7676,5.550995
14,10.0,813600.0,813600.0,5.910410939914688,5.9169084096843845,4.341929971859076,5.9371,4.895652
15,6.0,671000.0,671000.0,5.8267225201689925,2.149413268271504,2.977921567758452,1.6089,3.6515276
16,6.0,640000.0,640000.0,5.806179973983888,2.860634154981655,1.7771864419696,4.0649,3.0406578
17,9.0,610000.0,610000.0,5.785329835010767,4.614381289211368,4.326925705816105,1.5379,4.285898
18,2.0,600000.0,600000.0,5.778151250383644,-0.0362443917501717,1.456261137681238,1.785,1.8544418
19,8.0,600000.0,600000.0,5.778151250383644,7.017258227571428,2.557186603303867,4.4196,5.015232
20,5.0,570000.0,570000.0,5.755874855672492,3.6703760085430175,3.858666102737037,2.1872,4.040933
21,6.0,2400.0,2400.0,3.380211241711606,2.423540999007928,3.739683794785382,2.3289,3.5694723
22,7.0,505000.0,505000.0,5.703291378118662,1.5103344386658375,3.602598438009567,2.8843,4.3268566
23,6.0,480000.0,480000.0,5.681241237375588,2.6407322507146462,1.745742170152211,4.275,3.8773265
24,3.0,470000.0,470000.0,5.672097857935717,3.9576520692873887,2.898141580778438,3.4973,4.5848165
25,9.0,440000.0,440000.0,5.643452676486188,2.480345562675268,2.643691953958229,3.0141,2.946246
26,9.0,420000.0,420000.0,5.623249290397901,4.386621593032929,2.996970423636108,4.2247,4.8615203
27,6.0,390000.0,390000.0,5.5910646070265,-0.3303702545764069,0.7994147887564823,1.7029,1.0363953
28,6.0,380000.0,380000.0,5.57978359661681,4.711836454576656,2.839971609322761,2.6637,3.8680208
29,7.0,380000.0,380000.0,5.57978359661681,4.173815558214416,4.242898129063073,1.8524,3.8980129
30,3.0,360000.0,360000.0,5.556302500767288,0.7952810446461396,2.91671652388845,2.5307,4.26731
31,3.0,337800.0,337800.0,5.52865964523499,1.3923185630998016,4.897501287627467,2.9191,5.0260115
